Time,Date,Name,Rank,Age,Exchanges,Markets,Pairs,All_Time_High,Circulating_Supply,Total_Supply,Max_Supply,Code,Rate,Volume,Cap,Delta_Hour_Change,Delta_Day_Change,Delta_Week_Change,Delta_Month_Change,Delta_Quarter_Change,Delta_Year_Change,Hour,Day,Month_Number,Month_Name,Year
15:46:50,2024-07-06,XRP,7,3988,128,422,184,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4490776539711736,613546661.0,25023982780.0,1.0046,1.0558,0.9437,0.8608,0.7562,0.9634,15,6,7,July,2024
15:48:44,2024-07-06,XRP,7,3988,128,424,185,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44832152934871716,614559399.0,24981849200.0,1.0029,1.054,0.9422,0.8593,0.7549,0.9618,15,6,7,July,2024
17:36:11,2024-07-06,XRP,7,3988,128,425,186,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4502657156943989,608472910.0,25090185220.0,1.0041,1.06,0.9478,0.8622,0.7585,0.9619,17,6,7,July,2024
18:09:07,2024-07-06,XRP,7,3988,128,427,188,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4488832285257424,602923753.0,25013148799.0,0.9998,1.0594,0.9457,0.8597,0.7583,0.9606,18,6,7,July,2024
18:11:20,2024-07-06,XRP,7,3988,128,427,188,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4489631393622503,602695056.0,25017601676.0,0.998,1.0602,0.9454,0.8591,0.7573,0.9628,18,6,7,July,2024
00:54:04,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4415257794266044,553684297.0,24603169193.0,0.9901,1.0311,0.9343,0.844,0.7445,0.9472,0,7,7,July,2024
01:04:10,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44144577818283215,554449627.0,24598711279.0,0.9908,1.0313,0.9345,0.8424,0.7439,0.9472,1,7,7,July,2024
01:05:22,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44135533513873104,553809617.0,24593671515.0,0.9906,1.0311,0.9343,0.8423,0.7437,0.947,1,7,7,July,2024
01:05:42,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44134507937204465,553500575.0,24593100032.0,0.9906,1.031,0.9342,0.8422,0.7437,0.947,1,7,7,July,2024
01:06:05,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44138503950653374,553422079.0,24595326734.0,0.9905,1.0319,0.9343,0.8412,0.7434,0.9471,1,7,7,July,2024
01:06:29,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4412773168263781,553190067.0,24589324096.0,0.9902,1.0316,0.9341,0.841,0.7432,0.9469,1,7,7,July,2024
01:06:50,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4412644012333063,553081185.0,24588604399.0,0.9902,1.0316,0.934,0.841,0.7432,0.9468,1,7,7,July,2024
01:07:14,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4410457666664062,552960480.0,24576421411.0,0.9897,1.0311,0.9336,0.8405,0.7428,0.9464,1,7,7,July,2024
01:07:35,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44066592880426514,552678648.0,24555255682.0,0.9889,1.0302,0.9328,0.8398,0.7422,0.9456,1,7,7,July,2024
01:07:59,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4406675635431504,552609892.0,24555346775.0,0.9889,1.0302,0.9328,0.8398,0.7422,0.9456,1,7,7,July,2024
01:08:19,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4402888455526677,552120105.0,24534243448.0,0.988,1.0293,0.932,0.8391,0.7415,0.9448,1,7,7,July,2024
01:08:43,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4401849680896925,551878403.0,24528455077.0,0.9878,1.0291,0.9317,0.8389,0.7414,0.9445,1,7,7,July,2024
01:09:06,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4401733978973002,551752165.0,24527810351.0,0.9878,1.0291,0.9317,0.8389,0.7414,0.9445,1,7,7,July,2024
01:09:30,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44016553213251697,551663437.0,24527372046.0,0.9877,1.029,0.9317,0.8389,0.7413,0.9445,1,7,7,July,2024
01:10:03,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4401680923094722,551586366.0,24527514707.0,0.9877,1.0291,0.9317,0.8389,0.7413,0.9445,1,7,7,July,2024
01:11:20,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4404405986755405,551962168.0,24542699597.0,0.9899,1.0286,0.9323,0.8398,0.7414,0.9467,1,7,7,July,2024
01:11:43,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4404970144492802,552314665.0,24545843257.0,0.99,1.0287,0.9324,0.8399,0.7415,0.9468,1,7,7,July,2024
01:12:01,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44050328309778575,552220294.0,24546192565.0,0.99,1.0287,0.9324,0.8399,0.7416,0.9468,1,7,7,July,2024
01:12:24,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4407316099715104,552568695.0,24558915638.0,0.9905,1.0293,0.9329,0.8404,0.7419,0.9473,1,7,7,July,2024
01:12:49,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44083684612559787,552552147.0,24564779719.0,0.9907,1.0295,0.9331,0.8406,0.7421,0.9476,1,7,7,July,2024
01:13:16,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4408950417865748,552742079.0,24568022559.0,0.9909,1.0296,0.9333,0.8407,0.7422,0.9477,1,7,7,July,2024
01:13:59,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4410651601214311,552840727.0,24577502074.0,0.9913,1.03,0.9336,0.841,0.7425,0.948,1,7,7,July,2024
01:14:21,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4413647140092847,553218009.0,24594194135.0,0.9919,1.0307,0.9343,0.8416,0.743,0.9487,1,7,7,July,2024
01:14:43,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44141845335859176,553162017.0,24597188656.0,0.9921,1.0309,0.9344,0.8417,0.7431,0.9488,1,7,7,July,2024
01:15:05,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4414421161673338,553147738.0,24598507220.0,0.9921,1.0309,0.9344,0.8417,0.7431,0.9489,1,7,7,July,2024
01:16:37,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.441772305970615,554190403.0,24616906407.0,0.9941,1.0325,0.935,0.8416,0.7436,0.9497,1,7,7,July,2024
01:16:59,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.44177598768922727,554064810.0,24617111564.0,0.9941,1.0325,0.935,0.8416,0.7436,0.9497,1,7,7,July,2024
01:17:22,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4419287823144187,554302896.0,24625625749.0,0.9944,1.0329,0.9353,0.8419,0.7439,0.95,1,7,7,July,2024
01:17:45,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4419722501031238,553932799.0,24628047907.0,0.9945,1.033,0.9354,0.842,0.744,0.9501,1,7,7,July,2024
01:18:26,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4421188759800525,554152468.0,24636218350.0,0.9948,1.0333,0.9357,0.8422,0.7442,0.9504,1,7,7,July,2024
01:20:03,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4425664567529219,554563202.0,24661158922.0,0.9958,1.0344,0.9367,0.8431,0.745,0.9514,1,7,7,July,2024
01:30:08,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4425664567529219,554563202.0,24661158922.0,0.9958,1.0344,0.9367,0.8431,0.745,0.9514,1,7,7,July,2024
01:30:41,2024-07-07,XRP,7,3989,128,417,180,3.91546307780967,55723063839.0,99987471767.0,100000000000.0,XRP,0.4431303193524565,556706094.0,24692579074.0,0.9968,1.0345,0.9381,0.8439,0.7454,0.9514,1,7,7,July,2024
